CellType,Organ,CellNum
ProFB,Spleen,0
UniFB,Spleen,1
ActFB,Stomach,1
apCAF,Stomach,56
CycFB,Stomach,1
CytFB,Stomach,1
DerFB,Stomach,45
DevFB,Stomach,0
EpiFB,Stomach,5
FCC,Stomach,13
FCPC,Stomach,2
iCAF,Stomach,761
LipFB,Stomach,0
MetFB,Stomach,4
myoCAF,Stomach,60
PapFB,Stomach,0
ProFB,Stomach,0
UniFB,Stomach,68
ActFB,TemporalLobe,0
apCAF,TemporalLobe,0
CycFB,TemporalLobe,0
CytFB,TemporalLobe,0
DerFB,TemporalLobe,0
DevFB,TemporalLobe,0
EpiFB,TemporalLobe,0
FCC,TemporalLobe,1
FCPC,TemporalLobe,0
iCAF,TemporalLobe,2
LipFB,TemporalLobe,0
MetFB,TemporalLobe,0
myoCAF,TemporalLobe,1
PapFB,TemporalLobe,0
ProFB,TemporalLobe,0
UniFB,TemporalLobe,0
ActFB,Thymus,126
apCAF,Thymus,9
CycFB,Thymus,4
CytFB,Thymus,781
DerFB,Thymus,1
DevFB,Thymus,0
EpiFB,Thymus,21
FCC,Thymus,146
FCPC,Thymus,251
iCAF,Thymus,155
LipFB,Thymus,1686
MetFB,Thymus,72
myoCAF,Thymus,532
PapFB,Thymus,0
ProFB,Thymus,0
UniFB,Thymus,86
ActFB,Thyroid,0
apCAF,Thyroid,1
CycFB,Thyroid,0
CytFB,Thyroid,1
DerFB,Thyroid,0
DevFB,Thyroid,0
EpiFB,Thyroid,0
FCC,Thyroid,5
FCPC,Thyroid,4
iCAF,Thyroid,62
LipFB,Thyroid,0
MetFB,Thyroid,1
myoCAF,Thyroid,84
PapFB,Thyroid,0
ProFB,Thyroid,0
UniFB,Thyroid,0
ActFB,Tongue,60
apCAF,Tongue,0
CycFB,Tongue,16
CytFB,Tongue,6
DerFB,Tongue,19
DevFB,Tongue,0
EpiFB,Tongue,0
FCC,Tongue,2
FCPC,Tongue,13
iCAF,Tongue,24
LipFB,Tongue,1
MetFB,Tongue,43
myoCAF,Tongue,12
PapFB,Tongue,0
ProFB,Tongue,0
UniFB,Tongue,31
ActFB,Trachea,229
apCAF,Trachea,27
CycFB,Trachea,11
CytFB,Trachea,202
DerFB,Trachea,68
DevFB,Trachea,1
EpiFB,Trachea,15
FCC,Trachea,303
FCPC,Trachea,58
iCAF,Trachea,741
LipFB,Trachea,71
MetFB,Trachea,3
myoCAF,Trachea,565
PapFB,Trachea,0
ProFB,Trachea,0
UniFB,Trachea,335
ActFB,Ureter,0
apCAF,Ureter,1
CycFB,Ureter,0
CytFB,Ureter,0
DerFB,Ureter,0
DevFB,Ureter,0
EpiFB,Ureter,0
FCC,Ureter,0
FCPC,Ureter,0
iCAF,Ureter,2
LipFB,Ureter,0
MetFB,Ureter,0
myoCAF,Ureter,0
PapFB,Ureter,0
ProFB,Ureter,0
UniFB,Ureter,8
ActFB,Uterus,14
apCAF,Uterus,2
CycFB,Uterus,24
CytFB,Uterus,2
DerFB,Uterus,26
DevFB,Uterus,2208
EpiFB,Uterus,0
FCC,Uterus,3
FCPC,Uterus,8
iCAF,Uterus,159
LipFB,Uterus,0
MetFB,Uterus,7
myoCAF,Uterus,9
PapFB,Uterus,0
ProFB,Uterus,0
UniFB,Uterus,86
ActFB,Vasculature,49
apCAF,Vasculature,0
CycFB,Vasculature,3
CytFB,Vasculature,2132
DerFB,Vasculature,1
DevFB,Vasculature,0
EpiFB,Vasculature,1
FCC,Vasculature,65
FCPC,Vasculature,220
iCAF,Vasculature,138
LipFB,Vasculature,2186
MetFB,Vasculature,24
myoCAF,Vasculature,992
PapFB,Vasculature,0
ProFB,Vasculature,0
UniFB,Vasculature,57
