CellType	Trait	Intersection_count	p_value	Label	Log10_Pvalue
ActFB	MDD	41	0.575607730189768		0.239873382288911
FCC	MDD	40	0.570078911003356		0.244065024605895
iCAF	MDD	48	0.937197144726156		0.0281690431988089
UniFB	MDD	41	0.575607730189768		0.239873382288911
CycFB	MDD	49	0.868631546802091		0.0611644020595844
DerFB	MDD	51	0.787536768525881		0.103729160719154
DevFB	MDD	67	0.0241153905877287	67	1.61770569958404
apCAF	MDD	93	5.31510431868532e-09	93	5
MetFB	MDD	47	1		0
EpiFB	MDD	44	0.864097897775862		0.0634370514385719
CytFB	MDD	61	0.156364210678702		0.805862643113778
PapFB	MDD	71	0.00578279980684287	71	2.23786184215747
ProFB	MDD	59	0.251196490685977		0.599986432157618
LipFB	MDD	57	0.389106305701015		0.409931731136722
FCPC	MS	61	0.312728421357405		0.504832647449796
myoCAF	MS	59	0.345827112237255		0.461140961803963
ActFB	MS	58	0.345827112237255		0.461140961803963
FCC	MS	56	0.44163469301998		0.354936817535828
iCAF	MS	51	0.866290445378469		0.0623364755609288
UniFB	MS	51	0.866290445378469		0.0623364755609288
CycFB	MS	48	0.939024503263455		0.0273230749402123
DerFB	MS	58	0.345827112237255		0.461140961803963
DevFB	MS	56	0.44163469301998		0.354936817535828
apCAF	MS	62	0.312728421357405		0.504832647449796
MetFB	MS	49	0.935449358094559		0.0289797186881831
EpiFB	MS	52	0.866290445378469		0.0623364755609288
CytFB	MS	49	0.935449358094559		0.0289797186881831
PapFB	MS	50	0.935449358094559		0.0289797186881831
ProFB	MS	46	0.939024503263455		0.0273230749402123
LipFB	MS	46	0.939024503263455		0.0273230749402123
FCPC	PBC	53	0.639868031267509		0.193909587269473
myoCAF	PBC	56	0.639868031267509		0.193909587269473
ActFB	PBC	60	0.447408879038313		0.349295401376894
FCC	PBC	60	0.447408879038313		0.349295401376894
iCAF	PBC	55	0.639868031267509		0.193909587269473
UniFB	PBC	50	0.878622323180772		0.0561977667990524
CycFB	PBC	48	0.878622323180772		0.0561977667990524
DerFB	PBC	53	0.639868031267509		0.193909587269473
DevFB	PBC	53	0.639868031267509		0.193909587269473
apCAF	PBC	38	0.639868031267509		0.193909587269473
MetFB	PBC	54	0.639868031267509		0.193909587269473
EpiFB	PBC	48	0.878622323180772		0.0561977667990524
CytFB	PBC	45	0.878622323180772		0.0561977667990524
PapFB	PBC	48	0.878622323180772		0.0561977667990524
ProFB	PBC	41	0.639868031267509		0.193909587269473
LipFB	PBC	48	0.878622323180772		0.0561977667990524
FCPC	ReactionTime	46	1		0
myoCAF	ReactionTime	50	0.862540822794056		0.0642203412464087
ActFB	ReactionTime	54	0.822296757413955		0.0849714223031682
FCC	ReactionTime	41	0.822296757413955		0.0849714223031682
iCAF	ReactionTime	50	0.862540822794056		0.0642203412464087
UniFB	ReactionTime	47	1		0
CycFB	ReactionTime	46	1		0
DerFB	ReactionTime	50	0.862540822794056		0.0642203412464087
DevFB	ReactionTime	56	0.772860712784965		0.111898768849533
apCAF	ReactionTime	75	0.00138902603916968	75	2.85728961274928
MetFB	ReactionTime	42	0.862540822794056		0.0642203412464087
EpiFB	ReactionTime	51	0.862540822794056		0.0642203412464087
CytFB	ReactionTime	62	0.170075948733481		0.769357097738751
PapFB	ReactionTime	64	0.113574953846996		0.944717430995829
ProFB	ReactionTime	48	1		0
LipFB	ReactionTime	54	0.822296757413955		0.0849714223031682
FCPC	RA	45	1		0
myoCAF	RA	48	1		0
ActFB	RA	48	1		0
FCC	RA	46	1		0
iCAF	RA	47	1		0
UniFB	RA	53	1		0
CycFB	RA	47	1		0
DerFB	RA	46	1		0
DevFB	RA	46	1		0
